state,prison,parole,felony_probation,jail,post_sentence,total,vap,percentage_disenfranchised
Alabama,30585,6580,15626,1578,231896,286266,3755483,0.0762
Alaska,5497,2035,6900,7,,14439,552166,0.0261
Arizona,44509,7241,51362,1341,116717,221170,5205215,0.0425
Arkansas,19224,21811,24695,975,,66705,2272904,0.0293
California,136302,86254,,,,222557,30023902,0.0074
Colorado,21207,8673,,1066,,30946,4199509,0.0074
Connecticut,14926,2419,,,,17345,2826827,0.0061
Delaware,6858,716,4074,,4067,15716,741548,0.0212
Florida,102555,4208,86886,4822,1487847,1686318,16166143,0.1043
Georgia,50900,23545,170194,4112,,248751,7710688,0.0323
Hawaii,6364,,,,,6364,1120770,0.0057
Idaho,7873,5057,9863,314,,23106,1222093,0.0189
Illinois,47537,,,2089,,49625,9901322,0.005
Iowa,9127,6133,12365,410,23976,52012,2395103,0.0217
Indiana,28028,,,1630,,29658,5040224,0.0059
Kansas,9466,4023,3426,679,,17594,2192084,0.008
Kentucky,22968,16729,27323,2039,242987,312046,3413425,0.0914
Louisiana,35614,31450,37761,3211,,108035,3555911,0.0304
Maine,,,,,,0,1072948,0
Maryland,20378,,,1087,,21465,4658175,0.0046
Massachusetts,10254,,,921,,11176,5407335,0.0021
Michigan,42661,,,1560,,44221,7715272,0.0057
Minnesota,11369,8148,43215,608,,63340,4205207,0.0151
Mississippi,13752,8051,28463,1422,166494,218181,2265485,0.0963
Missouri,32768,16808,38870,1219,,89665,4692196,0.0191
Montana,3816,,,330,,4146,806529,0.0051
North Carolina,37446,10977,40867,1888,,91179,7752234,0.0118
North Dakota,2042,,,136,,2178,583001,0.0037
Nebraska,6377,782,2952,384,7069,17564,1425853,0.0123
Nevada,11560,6828,8097,701,62080,89267,2221681,0.0402
New Hampshire,2856,,,175,,3031,1066610,0.0028
New Jersey,19964,14831,58123,1396,,94315,6959192,0.0136
New Mexico,7205,2838,13352,891,,24286,1588201,0.0153
New York,50513,44590,,2477,,97581,15584974,0.0063
Ohio,51102,,,1736,,52837,8984946,0.0059
Oklahoma,27857,2572,26475,1398,,58302,2950017,0.0198
Oregon,14228,,,519,,14748,3166121,0.0047
Pennsylvania,49269,,,3705,,52974,10112229,0.0052
Rhode Island,3355,,,,,3355,845254,0.004
South Carolina,20141,4621,21464,1011,,47238,3804558,0.0124
South Dakota,3464,2643,4114,170,,10392,647145,0.0161
Tennessee,29271,13186,52654,2763,323354,421227,5102688,0.0826
Texas,161658,111632,216033,6605,,495928,20257343,0.0245
Utah,6925,,,744,,7669,2083423,0.0037
Vermont,,,,,,0,506119,0
Virginia,38694,1604,56908,2905,408570,508680,6512571,0.0781
Washington,18395,3811,25164,1182,,48552,5558509,0.0087
West Virginia,7042,3187,4109,389,,14727,1464532,0.0101
Wisconsin,22851,19537,22101,1118,,65606,4476711,0.0147
Wyoming,2536,607,3148,141,17414,23847,447212,0.0533
Total,1329288,504127,1116585,63855,3092471,6106327,247219588,0.0247
