,state,prison,parole,felony_probation,jail,post_sentence,total,vap,percentage_disenfranchised
0,Alabama,30585.0,6580.0,15626.0,1578.0,231896.0,286266,3755483,0.0762
1,Alaska,5497.0,2035.0,6900.0,7.0,,14439,552166,0.0261
2,Arizona,44509.0,7241.0,51362.0,1341.0,116717.0,221170,5205215,0.0425
3,Arkansas,19224.0,21811.0,24695.0,975.0,,66705,2272904,0.0293
4,California,136302.0,86254.0,,,,222557,30023902,0.0074
5,Colorado,21207.0,8673.0,,1066.0,,30946,4199509,0.0074
6,Connecticut,14926.0,2419.0,,,,17345,2826827,0.0061
7,Delaware,6858.0,716.0,4074.0,,4067.0,15716,741548,0.0212
8,Florida,102555.0,4208.0,86886.0,4822.0,1487847.0,1686318,16166143,0.1043
9,Georgia,50900.0,23545.0,170194.0,4112.0,,248751,7710688,0.0323
10,Hawaii,6364.0,,,,,6364,1120770,0.0057
11,Idaho,7873.0,5057.0,9863.0,314.0,,23106,1222093,0.0189
12,Illinois,47537.0,,,2089.0,,49625,9901322,0.005
13,Iowa,9127.0,6133.0,12365.0,410.0,23976.0,52012,2395103,0.0217
14,Indiana,28028.0,,,1630.0,,29658,5040224,0.0059
15,Kansas,9466.0,4023.0,3426.0,679.0,,17594,2192084,0.008
16,Kentucky,22968.0,16729.0,27323.0,2039.0,242987.0,312046,3413425,0.0914
17,Louisiana,35614.0,31450.0,37761.0,3211.0,,108035,3555911,0.0304
18,Maine,,,,,,0,1072948,0.0
19,Maryland,20378.0,,,1087.0,,21465,4658175,0.0046
20,Massachusetts,10254.0,,,921.0,,11176,5407335,0.0021
21,Michigan,42661.0,,,1560.0,,44221,7715272,0.0057
22,Minnesota,11369.0,8148.0,43215.0,608.0,,63340,4205207,0.0151
23,Mississippi,13752.0,8051.0,28463.0,1422.0,166494.0,218181,2265485,0.0963
24,Missouri,32768.0,16808.0,38870.0,1219.0,,89665,4692196,0.0191
25,Montana,3816.0,,,330.0,,4146,806529,0.0051
26,North Carolina,37446.0,10977.0,40867.0,1888.0,,91179,7752234,0.0118
27,North Dakota,2042.0,,,136.0,,2178,583001,0.0037
28,Nebraska,6377.0,782.0,2952.0,384.0,7069.0,17564,1425853,0.0123
29,Nevada,11560.0,6828.0,8097.0,701.0,62080.0,89267,2221681,0.0402
30,New Hampshire,2856.0,,,175.0,,3031,1066610,0.0028
31,New Jersey,19964.0,14831.0,58123.0,1396.0,,94315,6959192,0.0136
32,New Mexico,7205.0,2838.0,13352.0,891.0,,24286,1588201,0.0153
33,New York,50513.0,44590.0,,2477.0,,97581,15584974,0.0063
34,Ohio,51102.0,,,1736.0,,52837,8984946,0.0059
35,Oklahoma,27857.0,2572.0,26475.0,1398.0,,58302,2950017,0.0198
36,Oregon,14228.0,,,519.0,,14748,3166121,0.0047
37,Pennsylvania,49269.0,,,3705.0,,52974,10112229,0.0052
38,Rhode Island,3355.0,,,,,3355,845254,0.004
39,South Carolina,20141.0,4621.0,21464.0,1011.0,,47238,3804558,0.0124
40,South Dakota,3464.0,2643.0,4114.0,170.0,,10392,647145,0.0161
41,Tennessee,29271.0,13186.0,52654.0,2763.0,323354.0,421227,5102688,0.0826
42,Texas,161658.0,111632.0,216033.0,6605.0,,495928,20257343,0.0245
43,Utah,6925.0,,,744.0,,7669,2083423,0.0037
44,Vermont,,,,,,0,506119,0.0
45,Virginia,38694.0,1604.0,56908.0,2905.0,408570.0,508680,6512571,0.0781
46,Washington,18395.0,3811.0,25164.0,1182.0,,48552,5558509,0.0087
47,West Virginia,7042.0,3187.0,4109.0,389.0,,14727,1464532,0.0101
48,Wisconsin,22851.0,19537.0,22101.0,1118.0,,65606,4476711,0.0147
49,Wyoming,2536.0,607.0,3148.0,141.0,17414.0,23847,447212,0.0533
50,Total,1329288.0,504127.0,1116585.0,63855.0,3092471.0,6106327,247219588,0.0247
